               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  51,            0.093372,             0.15718,            0.025246,             0.41684,             0.32442,              0.3114,             0.16797,            0.090336,             0.22226,            0.029851,             0.00835,             0.00835,             0.00835
                  52,            0.093548,             0.15801,            0.025498,              0.4413,             0.31922,             0.31405,             0.16741,            0.090358,             0.22184,            0.029884,            0.008317,            0.008317,            0.008317
                  53,             0.09347,             0.15775,            0.025115,             0.43484,             0.31926,             0.31805,             0.17192,            0.090312,             0.22179,            0.029857,            0.008284,            0.008284,            0.008284
                  54,            0.093113,             0.15688,            0.025071,             0.43485,             0.32537,             0.31947,             0.17177,            0.090232,              0.2219,            0.029829,            0.008251,            0.008251,            0.008251
                  55,            0.093569,             0.15991,              0.0252,             0.42153,             0.32793,             0.31589,             0.17038,            0.090232,             0.22164,            0.029949,            0.008218,            0.008218,            0.008218
                  56,            0.092871,             0.15796,            0.024945,             0.42011,             0.32987,             0.31757,             0.17101,             0.09014,             0.22168,            0.029864,            0.008185,            0.008185,            0.008185
                  57,            0.093112,             0.15748,            0.024904,             0.43649,             0.33001,             0.31801,             0.17052,            0.090119,             0.22162,            0.029823,            0.008152,            0.008152,            0.008152
                  58,            0.093446,             0.15867,            0.024909,             0.42714,             0.32876,             0.31777,              0.1704,            0.090152,             0.22151,            0.029829,            0.008119,            0.008119,            0.008119
                  59,            0.093298,             0.15855,            0.024918,             0.43426,             0.32734,             0.31788,             0.17131,            0.090078,             0.22139,            0.029838,            0.008086,            0.008086,            0.008086
                  60,            0.093129,             0.15754,            0.024912,             0.42971,             0.33117,             0.32061,             0.17332,            0.090012,             0.22171,            0.029813,            0.008053,            0.008053,            0.008053
                  61,            0.093021,             0.15858,             0.02503,             0.43056,             0.33613,             0.31963,             0.17183,            0.089969,             0.22165,            0.029709,             0.00802,             0.00802,             0.00802
                  62,            0.093511,             0.15999,            0.024745,             0.43386,             0.32979,             0.32225,             0.17385,            0.090028,             0.22208,            0.029804,            0.007987,            0.007987,            0.007987
                  63,            0.093074,             0.15731,            0.024675,             0.41878,             0.33796,              0.3222,             0.17376,            0.090085,             0.22165,            0.029777,            0.007954,            0.007954,            0.007954
                  64,            0.093152,             0.15942,            0.024837,             0.42958,             0.33154,             0.32093,              0.1736,            0.089976,             0.22159,            0.029725,            0.007921,            0.007921,            0.007921
                  65,             0.09308,              0.1572,            0.024651,             0.43818,              0.3296,             0.32064,             0.17431,            0.089941,              0.2214,            0.029676,            0.007888,            0.007888,            0.007888
                  66,            0.092752,             0.15898,             0.02477,             0.42906,             0.33503,             0.32348,             0.17486,            0.089915,             0.22099,            0.029614,            0.007855,            0.007855,            0.007855
                  67,            0.092705,             0.15685,            0.024592,             0.42386,             0.33464,             0.32267,             0.17553,            0.089921,             0.22178,              0.0296,            0.007822,            0.007822,            0.007822
                  68,            0.092306,             0.15599,             0.02441,             0.43277,             0.33213,             0.32404,             0.17534,            0.089858,             0.22145,            0.029462,            0.007789,            0.007789,            0.007789
                  69,            0.092815,             0.15843,            0.024609,             0.43279,             0.33416,             0.32503,             0.17609,              0.0898,             0.22115,            0.029577,            0.007756,            0.007756,            0.007756
                  70,            0.092986,             0.15756,            0.024559,             0.42388,             0.33483,             0.32287,             0.17511,            0.089805,             0.22117,            0.029574,            0.007723,            0.007723,            0.007723
                  71,            0.092732,             0.15705,             0.02455,             0.42205,             0.33979,             0.32394,             0.17504,            0.089767,             0.22112,            0.029502,             0.00769,             0.00769,             0.00769
                  72,            0.092703,             0.15663,            0.024382,             0.42938,             0.33654,             0.32443,             0.17617,            0.089743,             0.22094,             0.02956,            0.007657,            0.007657,            0.007657
                  73,            0.092452,             0.15631,            0.024302,             0.43429,             0.33684,             0.32509,             0.17638,            0.089736,             0.22133,            0.029498,            0.007624,            0.007624,            0.007624
                  74,            0.092858,             0.15673,            0.024232,             0.42689,             0.33414,             0.32509,              0.1779,            0.089667,             0.22138,            0.029514,            0.007591,            0.007591,            0.007591
                  75,            0.092509,             0.15658,             0.02427,             0.43385,             0.33651,             0.32619,             0.17732,             0.08964,             0.22131,             0.02956,            0.007558,            0.007558,            0.007558
                  76,            0.092481,             0.15646,            0.024382,             0.43506,             0.33403,             0.32444,             0.17733,            0.089611,             0.22126,            0.029468,            0.007525,            0.007525,            0.007525
                  77,            0.092656,             0.15686,            0.024315,             0.42413,             0.34128,              0.3274,             0.17829,            0.089602,             0.22139,            0.029443,            0.007492,            0.007492,            0.007492
                  78,            0.091988,             0.15617,            0.024303,             0.42223,              0.3408,             0.32813,             0.17778,            0.089593,             0.22113,            0.029481,            0.007459,            0.007459,            0.007459
                  79,              0.0924,               0.156,            0.024286,             0.43202,             0.33744,             0.32982,             0.17916,            0.089541,             0.22112,            0.029397,            0.007426,            0.007426,            0.007426
                  80,            0.092714,             0.15512,            0.024182,             0.44012,              0.3399,             0.33136,             0.18112,            0.089525,              0.2211,            0.029341,            0.007393,            0.007393,            0.007393
                  81,            0.092669,              0.1576,            0.024431,             0.44165,              0.3413,             0.32956,             0.18005,              0.0895,             0.22105,            0.029294,             0.00736,             0.00736,             0.00736
                  82,            0.092348,             0.15693,            0.024215,             0.44238,             0.33838,             0.33028,             0.18007,              0.0895,             0.22077,            0.029265,            0.007327,            0.007327,            0.007327
                  83,            0.091948,              0.1575,            0.023916,             0.43588,             0.34388,             0.33271,             0.18142,            0.089446,             0.22068,            0.029268,            0.007294,            0.007294,            0.007294
                  84,            0.092105,             0.15718,            0.024199,             0.44287,             0.34033,             0.33338,             0.18196,            0.089407,             0.22078,            0.029279,            0.007261,            0.007261,            0.007261
                  85,            0.092303,             0.15562,            0.023839,             0.44065,             0.33916,             0.33318,             0.18208,            0.089395,             0.22093,            0.029316,            0.007228,            0.007228,            0.007228
                  86,            0.092178,             0.15626,            0.024043,             0.44732,               0.336,             0.33188,             0.18166,            0.089402,             0.22085,            0.029357,            0.007195,            0.007195,            0.007195
                  87,            0.092297,             0.15606,             0.02391,             0.44089,             0.33773,             0.33176,             0.18161,            0.089399,             0.22077,            0.029343,            0.007162,            0.007162,            0.007162
                  88,            0.092546,              0.1586,            0.024123,             0.43842,             0.33994,             0.33256,             0.18227,            0.089363,             0.22088,            0.029292,            0.007129,            0.007129,            0.007129
                  89,            0.091815,             0.15476,            0.023874,             0.44018,             0.33743,             0.33212,              0.1818,            0.089331,             0.22107,            0.029329,            0.007096,            0.007096,            0.007096
                  90,            0.091822,             0.15426,            0.023829,             0.43892,             0.33795,             0.33145,             0.18221,            0.089318,             0.22091,            0.029348,            0.007063,            0.007063,            0.007063
                  91,            0.092284,             0.15627,            0.023976,             0.44164,             0.33981,             0.33139,             0.18179,            0.089329,             0.22081,            0.029357,             0.00703,             0.00703,             0.00703
                  92,            0.091969,              0.1541,            0.023834,              0.4379,             0.34004,             0.33105,             0.18164,            0.089333,              0.2207,            0.029344,            0.006997,            0.006997,            0.006997
                  93,            0.092313,             0.15667,            0.023881,             0.43874,             0.33798,              0.3317,               0.182,            0.089322,             0.22073,            0.029285,            0.006964,            0.006964,            0.006964
                  94,            0.091923,             0.15682,            0.023911,             0.44005,             0.34097,              0.3336,              0.1831,            0.089308,             0.22086,            0.029253,            0.006931,            0.006931,            0.006931
                  95,            0.091834,              0.1543,            0.023895,             0.43459,             0.34556,             0.33458,              0.1832,            0.089297,              0.2209,            0.029281,            0.006898,            0.006898,            0.006898
                  96,            0.091759,             0.15498,            0.023762,             0.43651,             0.34848,             0.33578,             0.18379,            0.089271,             0.22079,            0.029263,            0.006865,            0.006865,            0.006865
                  97,            0.092075,              0.1556,            0.023848,             0.44876,              0.3408,             0.33773,             0.18509,            0.089274,              0.2209,            0.029272,            0.006832,            0.006832,            0.006832
                  98,            0.091739,             0.15449,            0.023931,             0.45871,             0.33647,             0.33651,              0.1852,            0.089245,             0.22095,            0.029243,            0.006799,            0.006799,            0.006799
                  99,            0.091598,              0.1551,            0.023608,             0.45121,             0.33974,             0.33662,             0.18516,            0.089228,             0.22093,            0.029226,            0.006766,            0.006766,            0.006766
                 100,            0.091611,             0.15395,            0.023674,              0.4476,             0.34087,             0.33576,             0.18446,            0.089217,             0.22088,            0.029249,            0.006733,            0.006733,            0.006733
                 101,            0.091797,             0.15453,            0.023679,              0.4539,             0.33773,             0.33653,             0.18472,            0.089181,             0.22088,            0.029195,              0.0067,              0.0067,              0.0067
                 102,            0.091535,             0.15462,            0.023496,             0.44927,             0.33984,             0.33687,             0.18465,            0.089185,             0.22101,            0.029177,            0.006667,            0.006667,            0.006667
                 103,            0.091867,             0.15321,             0.02347,             0.44978,             0.34035,             0.33721,             0.18487,            0.089184,             0.22103,            0.029161,            0.006634,            0.006634,            0.006634
                 104,            0.091974,             0.15479,            0.023479,             0.44921,             0.33864,             0.33675,             0.18499,            0.089162,             0.22093,            0.029181,            0.006601,            0.006601,            0.006601
                 105,            0.091777,             0.15457,            0.023618,             0.44276,             0.34233,             0.33696,             0.18507,             0.08914,             0.22077,            0.029155,            0.006568,            0.006568,            0.006568
                 106,            0.091567,             0.15473,            0.023504,             0.44337,             0.34482,             0.33688,             0.18514,            0.089115,             0.22071,            0.029154,            0.006535,            0.006535,            0.006535
                 107,            0.091398,             0.15398,            0.023557,             0.44338,             0.34413,             0.33653,              0.1852,             0.08911,             0.22075,            0.029189,            0.006502,            0.006502,            0.006502
                 108,            0.091633,             0.15372,             0.02354,             0.44226,             0.34447,             0.33702,              0.1853,            0.089098,             0.22083,            0.029167,            0.006469,            0.006469,            0.006469
