               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  74,            0.093575,             0.15301,            0.023027,             0.44722,             0.32827,             0.32644,             0.17751,            0.091477,             0.22363,            0.029629,            0.002773,            0.002773,            0.002773
                  75,            0.093255,               0.152,            0.023021,             0.44489,             0.33201,             0.32896,             0.17927,            0.091467,             0.22363,            0.029596,            0.002674,            0.002674,            0.002674
                  76,            0.093779,             0.14958,            0.022957,              0.4461,             0.32824,             0.32963,             0.17987,            0.091432,              0.2236,            0.029573,            0.002575,            0.002575,            0.002575
                  77,            0.092934,             0.15018,            0.022913,             0.44766,             0.33149,             0.32967,             0.18008,            0.091419,             0.22379,            0.029579,            0.002476,            0.002476,            0.002476
                  78,            0.093318,             0.15093,            0.022984,             0.44903,              0.3312,             0.33142,             0.18101,            0.091417,             0.22395,            0.029544,            0.002377,            0.002377,            0.002377
                  79,            0.093226,             0.15082,            0.022754,              0.4512,             0.33109,             0.33069,             0.18079,            0.091405,             0.22394,            0.029561,            0.002278,            0.002278,            0.002278
                  80,            0.093231,             0.14953,            0.022871,             0.45085,             0.32987,             0.32996,             0.18032,            0.091382,             0.22385,            0.029575,            0.002179,            0.002179,            0.002179
                  81,            0.092933,             0.14926,            0.022946,             0.45678,             0.32937,             0.33108,             0.18102,            0.091362,               0.224,            0.029574,             0.00208,             0.00208,             0.00208
                  82,            0.093179,             0.15108,            0.022733,             0.45872,             0.32761,             0.33004,             0.18019,            0.091393,              0.2241,            0.029579,            0.001981,            0.001981,            0.001981
                  83,            0.092779,             0.14851,            0.022803,             0.45062,             0.33362,             0.32985,                0.18,            0.091397,              0.2242,            0.029603,            0.001882,            0.001882,            0.001882
                  84,            0.093021,             0.15048,             0.02273,              0.4539,             0.33224,             0.33096,             0.18088,            0.091393,             0.22415,            0.029617,            0.001783,            0.001783,            0.001783
                  85,            0.092607,             0.14911,            0.022885,             0.45918,              0.3328,             0.33179,             0.18137,            0.091376,             0.22406,            0.029605,            0.001684,            0.001684,            0.001684
                  86,            0.093021,             0.15015,            0.022725,             0.45558,             0.33051,             0.33178,             0.18149,            0.091355,             0.22383,            0.029597,            0.001585,            0.001585,            0.001585
                  87,            0.093097,             0.15094,            0.022633,             0.45378,              0.3346,             0.33256,             0.18216,            0.091317,             0.22377,             0.02957,            0.001486,            0.001486,            0.001486
                  88,            0.092958,             0.14999,            0.022657,             0.45478,             0.33159,             0.33238,             0.18235,            0.091306,             0.22394,            0.029595,            0.001387,            0.001387,            0.001387
                  89,            0.092985,             0.14811,            0.022477,             0.45028,             0.33602,             0.33184,             0.18171,            0.091299,             0.22404,            0.029617,            0.001288,            0.001288,            0.001288
                  90,            0.092658,             0.14805,            0.022519,             0.44953,             0.33413,             0.33091,             0.18159,            0.091304,             0.22402,            0.029629,            0.001189,            0.001189,            0.001189
                  91,            0.093266,             0.14886,             0.02245,             0.45526,             0.33104,             0.32951,             0.18077,            0.091314,             0.22418,             0.02962,             0.00109,             0.00109,             0.00109
                  92,            0.092354,             0.14841,            0.022335,             0.44437,             0.33644,             0.33124,              0.1813,            0.091313,              0.2243,             0.02962,            0.000991,            0.000991,            0.000991
                  93,            0.093121,             0.14977,            0.022403,              0.4482,             0.33414,             0.32982,             0.18102,            0.091308,             0.22426,            0.029612,            0.000892,            0.000892,            0.000892
                  94,            0.092519,             0.15024,            0.022385,             0.45306,             0.33149,              0.3293,             0.18116,            0.091325,             0.22437,            0.029615,            0.000793,            0.000793,            0.000793
                  95,            0.092737,             0.14999,            0.022224,             0.45904,             0.32809,             0.33054,             0.18173,            0.091321,             0.22444,            0.029602,            0.000694,            0.000694,            0.000694
                  96,             0.09225,             0.14816,            0.022008,             0.45492,             0.32843,             0.33075,             0.18198,            0.091314,             0.22445,            0.029623,            0.000595,            0.000595,            0.000595
                  97,            0.092477,             0.14914,            0.022279,             0.45505,             0.33018,             0.33108,               0.182,            0.091324,              0.2246,            0.029629,            0.000496,            0.000496,            0.000496
                  98,            0.092235,             0.14656,            0.022179,             0.45729,             0.33026,             0.33176,             0.18198,            0.091329,             0.22467,            0.029624,            0.000397,            0.000397,            0.000397
                  99,            0.092474,             0.14885,            0.022332,             0.45776,             0.33163,             0.33231,               0.182,            0.091327,             0.22472,            0.029614,            0.000298,            0.000298,            0.000298
